year,price_soybeans,price_corn,price_soybean_meal,gdp_china,gdp_iran,gpd_netherlands,gdp_spain,gdp_thailand,gdp_world,gdp_egypt,gdp_japan,gdp_vietnam,lnton_corn,lnton_soybean_meal,lnton_soybeans
1997,105.8,93.199997,124,560.70001,107,152.7,156.7,345.10001,173.89999,218.7,180.10001,299.10001,12.7852,16.114691,15.91904
1998,84.199997,80.800003,77.400002,604.5,109,159.89999,163.8,318.89999,178.5,235.10001,178.2,316.39999,8.7051058,16.112869,15.97647
1999,65.900002,71.800003,67.599998,651,109.3,167.89999,171.5,333.60001,184.89999,249.39999,177.60001,331.60001,8.5794306,16.123091,15.90689
2000,69,70.199997,82.900002,706.29999,116.9,175,180.2,348.60001,193.8,262.89999,182.60001,354.20001,8.6224098,16.018881,16.188101
2001,63.599998,71.300003,80,765.70001,117.8,179,187.3,360.39999,198.60001,272.10001,183.3,378.60001,15.5038,16.174709,16.48876
2002,71.199997,79,81.5,835.29999,130,179.3,192.3,382.39999,204.60001,280.79999,183.5,405.5,14.81886,16.289209,16.51058
2003,87.900002,83.699997,95.099998,918.90002,141.89999,179.7,198.10001,409.89999,213.39999,289.79999,186.3,435.10001,15.07105,16.381491,16.727381
2004,104.3,89,113.9,1012.6,147.60001,183.3,204.2,435.79999,224.89999,301.70001,190.39999,469,15.40315,16.433519,16.659611
2005,84.099998,78.400002,91.199997,1128,155.10001,187,211.8,454.10001,235.89999,315.20001,193.60001,504.20001,13.88266,16.47776,16.90943
2006,82,96.800003,86,1271.3,163.3,193.5,220.5,476.79999,248.89999,336.70001,196.3,539.5,15.18575,16.32626,17.02916
2007,119.6,130.10001,116.8,1453.1,174.3,200.89999,228.39999,502.5,262.79999,360.60001,199.60001,577.79999,16.20496,16.33917,16.9795
2008,170.7,177.7,163,1594.1,174.10001,205.3,230.39999,511.10001,270.70001,386.5,197.39999,610.79999,15.67654,16.32345,17.01416
2009,142.7,131.7,159.2,1743.9,174.10001,197.7,221.7,507.5,270.39999,404.70001,186.8,643.70001,15.86723,16.32102,17.16754
2010,145.10001,147.89999,146.8,1928.7,184,200.3,222.10001,545.59998,285,425.39999,194.60001,684.90002,16.19128,16.430429,17.18465
2011,182.5,232.2,167.89999,2112,189.7,203.3,220.39999,549.90002,297.29999,433,194.39999,728.79999,16.064619,16.478201,17.311279
2012,202.7,237.39999,209.7,2278.8,175.10001,201.2,213.7,589.5,307.70001,442.5,197.3,768.90002,16.801001,16.475,17.308729
2013,194.89999,206,211.5,2456.6001,174.60001,201,210.8,605.40002,318.5,457.10001,201.3,811.90002,17.097191,16.40579,17.57193
2014,172.60001,153.5,206.89999,2635.8999,180.2,203.8,213.7,611.5,329.89999,470.39999,202.10001,863.90002,16.84227,16.434099,17.637329
2015,130.89999,135.10001,156.3,2817.8,177.3,207.89999,221.8,630.40002,341.5,491.10001,204.5,924.29999,17.179371,16.51193,17.810101
2016,136.7,126.7,155.2,3009.3999,199.5,212.5,228.5,651.90002,353.10001,512.20001,205.5,986.29999,16.90037,16.485769,17.75852
2017,135.2,123,154.5,3217,206.8,218.7,235.10001,678.59998,366.79999,533.20001,210.10001,1054.3,17.19157,16.46711,18.03511
2018,129.10001,130.89999,165.39999,3432.6001,195.7,224.3,240.7,707.09998,380.10001,561.5,210.7,1129.2,16.939951,16.62912,18.22403
2019,123.3,135.39999,148.2,3642,180.8,228.39999,245.60001,724.09998,391.10001,592.90002,212.2,1208.2,17.54917,16.62071,18.068279
