product,state,total_sum
corn,AC,573677.63
soybean_meal,AC,6782400
soybean_oil,AC,128667.19
soybeans,AC,283285
sugar,AC,48484.848
corn,AL,18
soybean_meal,AL,3195406.5
soybean_oil,AL,4587.1816
soybeans,AL,7440219.5
sugar,AL,375271136
corn,AM,662
soybean_meal,AM,939911.25
soybean_oil,AM,9644521
soybeans,AM,7067173.5
sugar,AM,13318741
corn,AP,249876
soybean_oil,AP,996
soybeans,AP,13378311
sugar,AP,90468
corn,BA,22518784
soybean_meal,BA,265163808
soybean_oil,BA,8483992
soybeans,BA,724322432
sugar,BA,5330081
corn,CE,32280
soybean_meal,CE,39
soybean_oil,CE,305.20001
sugar,CE,1792.481
corn,DF,3505669
soybean_oil,DF,602
soybeans,DF,55014152
sugar,DF,60651.5
wheat,DF,15
corn,ES,184433.19
soybean_meal,ES,1764049
soybean_oil,ES,32308.789
soybeans,ES,15557638
sugar,ES,6133745
wheat,ES,165
corn,GO,475941696
soybean_meal,GO,500500032
soybean_oil,GO,67850608
soybeans,GO,1085209088
sugar,GO,275990624
wheat,GO,4343.8999
corn,MA,74863536
soybean_meal,MA,18121314
soybean_oil,MA,63900.715
soybeans,MA,546897344
sugar,MA,17608.289
wheat,MA,64
corn,MG,68382928
soybean_meal,MG,142808144
soybean_oil,MG,47419868
soybeans,MG,641695680
sugar,MG,831929856
wheat,MG,9666.3682
corn,MS,297480448
soybean_meal,MS,149483456
soybean_oil,MS,45321760
soybeans,MS,795481536
sugar,MS,350120960
wheat,MS,165418.59
corn,MT,2560896000
soybean_meal,MT,1452044928
soybean_oil,MT,294720928
soybeans,MT,4223305984
sugar,MT,11537462
corn,PA,26719326
soybean_meal,PA,401175.78
soybean_oil,PA,195739.16
soybeans,PA,322625344
sugar,PA,1292323
corn,PB,2706920
soybeans,PB,1621960
sugar,PB,29101534
corn,PE,38316.5
soybean_meal,PE,1168425.1
soybean_oil,PE,3440748.3
soybeans,PE,5905736
sugar,PE,156769328
corn,PI,18021228
soybean_meal,PI,21857926
soybean_oil,PI,4731908.5
soybeans,PI,231466816
sugar,PI,757
corn,PR,543683008
soybean_meal,PR,1065208832
soybean_oil,PR,504163936
soybeans,PR,2106864896
sugar,PR,752976384
wheat,PR,25588118
corn,RJ,93664.234
soybean_meal,RJ,2463626
soybean_oil,RJ,739104
soybeans,RJ,490781.81
sugar,RJ,4782713
wheat,RJ,4010.3201
corn,RN,1852
soybean_meal,RN,600000
sugar,RN,13160162
corn,RO,26440276
soybean_meal,RO,711872.38
soybean_oil,RO,448904.03
soybeans,RO,259610304
sugar,RO,85685.141
wheat,RO,914.70367
corn,RR,111741.59
soybean_meal,RR,3115817
soybean_oil,RR,3958674
soybeans,RR,11030470
sugar,RR,14693994
corn,RS,71710208
soybean_meal,RS,655942656
soybean_oil,RS,295927904
soybeans,RS,2204078336
sugar,RS,3198967.5
wheat,RS,278781856
corn,SC,35583612
soybean_meal,SC,63938928
soybean_oil,SC,59057604
soybeans,SC,411969792
sugar,SC,10156457
wheat,SC,10077806
soybeans,SE,20163
sugar,SE,6993484
corn,SP,104681664
soybean_meal,SP,206073584
soybean_oil,SP,25164850
soybeans,SP,762838400
sugar,SP,3921676544
wheat,SP,120836.14
corn,TO,56387924
soybean_meal,TO,38008780
soybean_oil,TO,36656.332
soybeans,TO,520394080
