product,year,usd,tons
corn,2015,5046782386,29270330.55910341
soybean_meal,2015,5822471745,14827734.13340423
soybean_oil,2015,1170412768,1695158.065295337
soybeans,2015,21085165020,54627535.10885993
sugar,2015,7571738675,23810806.1336194
wheat,2015,1569837214,6949400.905158202
corn,2016,4211650182,24647992.55505104
soybean_meal,2016,5194015474,14444594.75188195
soybean_oil,2016,942036755,1319675.33125009
soybeans,2016,19446898310,51955928.81381794
sugar,2016,10389241712,28807825.71570754
wheat,2016,1450784228,7579654.594197546
corn,2017,4831969529,30535934.02789727
soybean_meal,2017,4974441578,14178365.90202028
soybean_oil,2017,1072471727,1400477.740467048
soybeans,2017,25747034940,68260311.68309122
sugar,2017,11376367767,28616209.63032496
wheat,2017,1252172668,6639968.653100964
corn,2018,4106308937,23671483.48816155
soybean_meal,2018,6624510325,16670200.21561838
soybean_oil,2018,1050464403,1449604.706128321
soybeans,2018,32683442059,82334407.47895788
sugar,2018,6492958609,21147383.338271
wheat,2018,1542965776,7038529.872912111
corn,2019,7323600141,43291849.84620997
soybean_meal,2019,5798167207,16533594.8050711
soybean_oil,2019,720352338,1079150.26235938
soybeans,2019,24784116897,70444386.85108687
sugar,2019,5117013309,17660251.26724205
wheat,2019,1606084954,7131019.08983839
